id,type,name,address
TNMM82301C,middleschool,Mezzocorona Eusebio Chini,Via Fornai 1 38016  Mezzocorona  TN
TNMM824018,middleschool,Mezzolombardo Eccher Dall'Eco,Via Alpini 17 38017  Mezzolombardo  TN
TNMM85002T,middleschool,Moena Don Giovanni Iori,Via Don Giovanni Iori 19 38035  Moena  TN
TNMM84901L,middleschool,Mori Bartolomeo Malfatti,Via Giovanni XXIII 64 38065  Mori  TN
TNMM82802L,middleschool,Novella - RevÃ²,Via G. Canestrini 9 38028  Novella  TN
TNMM832017,middleschool,Ossana Cesare Zanella,Via San Michele 1 38026  Ossana  TN
TNMM81401N,middleschool,Pergine Ciro Andreatta,Via dei Caduti 39 38057  Pergine Valsugana  TN
TNMM81501D,middleschool,Pergine Tullio Garbari,Via Paganella 4 38057  Pergine Valsugana  TN
TNMM838027,middleschool,Pieve di Bono-Prezzo,Via alla Fiera 1 38085  Pieve di Bono-Prezzo  TN
TNMM83401V,middleschool,Pinzolo Leonardo da Vinci,Via L.Collini 18 38086  Pinzolo  TN
TNMM834031,middleschool,Madonna di Campiglio,Viale Dolomiti di Brenta 81 38086  Pinzolo  TN
TNMM82601X,middleschool,Predaia - Taio Barbacovi,Via Heroldsberg 3 38012  Predaia  TN
TNMM826021,middleschool,Predaia - Coredo,Via della Clesura 15 38012  Predaia  TN
TNMM80801A,middleschool,Predazzo Marzari Pencati,Via Vardabasso 3 38037  Predazzo  TN
TNMM81002B,middleschool,Primiero Smc - Fiera Negrelli,Via Scopoli 1 38054  Primiero San Martino di Castrozza  TN
TNMM841012,middleschool,Riva del Garda Damiano Chiesa,Via Damiano Chiesa 10 38066  Riva del Garda  TN
TNMM84201T,middleschool,Riva del Garda Scipio Sighele,Piazza Maria Contini 8 38066  Riva del Garda  TN
TNMM81302V,middleschool,Roncegno Marco Pola,Via Francesco Meggio 2/A 38050  Roncegno Terme  TN
TNMM845019,middleschool,Rovereto Alcide Degasperi,Viale Vittoria 43 38068  Rovereto  TN
TNMM853018,middleschool,Rovereto Damiano Chiesa,Corso Rosmini 86 38068  Rovereto  TN
TNMM85501X,middleschool,Rovereto - Lizzana Halbherr,Corso Verona 129 38068  Rovereto  TN
TNMM859017,middleschool,Rovereto Negrelli,Corso Bettini 67 38068  Rovereto  TN
TN1M00200X,middleschool,Collegio Arcivescovile Dame Inglesi,Corso Bettini 31 38068  Rovereto  TN
TN1M00900P,middleschool,La Vela,Via Balista 19 38068  Rovereto  TN
TNMM85003V,middleschool,San Giovanni di Fassa-Pozza,Strada Dolomites 6 38036  San Giovanni di Fassa  TN
TNMM82202N,middleschool,Segonzano,Loc. Scancio 68 38047  Segonzano  TN
TNMM83602G,middleschool,Sella Giudicarie - Roncone,Via 3 Novembre 22/A 38087  Sella Giudicarie  TN
TNMM83402X,middleschool,Spiazzobaschenis De Averaria,Via San Vigilio 31 38088  Spiazzo  TN
TNMM82404B,middleschool,Spormaggiore,Via Municipio 87 38010  Spormaggiore  TN
TNMM838016,middleschool,Storo Giacomo Leopardi,Via Papaleoni 5 38089  Storo  TN
TNMM81301T,middleschool,Telve Don Lorenzo Milani,Via per Borgo 2/B 38050  Telve  TN
TNMM80802B,middleschool,Tesero Giovanni Alberti,Via Fia 11/A 38038  Tesero  TN
TNMM83601E,middleschool,Tione Legione Trentina,Viale Dante 27 38079  Tione di Trento  TN
TNMM81901R,middleschool,Trento-Povo Giovanni Pascoli,Via Znojmo 24 38123  Trento  TN
TNMM820011,middleschool,Trento-Cognoladell'Argentario,Via Ponte Alto 2/1 38121  Trento  TN
TNMM82102T,middleschool,Trento - Mattarello Fogazzaro,Via Torre Franca 1 38123  Trento  TN
TNMM85101L,middleschool,Trento - Gardolo Pedrolli,Via 4 Novembre 35/1 38121  Trento  TN
TNMM85201C,middleschool,Trento Giacomo Bresadola,Via Torrione 2 38122  Trento  TN
TNMM85601Q,middleschool,Trento Bronzetti-Segantini,Via Vittorio Veneto 61 38122  Trento  TN
TNMM85701G,middleschool,Trento Othmar Winkler,Viale degli Olmi 22 38123  Trento  TN
TNMM85801B,middleschool,Trento Alessandro Manzoni,Corso Buonarroti 50 38122  Trento  TN
TN1M00400G,middleschool,Collegio Arcivescovile Celestino Endrici,Via Celestino Endrici 23 38122  Trento  TN
TN1M00500B,middleschool,Istituto Salesiano Maria Ausiliatrice,Via Barbacovi 22 38122  Trento  TN
TN1M006007,middleschool,Istituto Sacro Cuore,Piazza Santa Teresa Verzeri 4 38122  Trento  TN
TN1M007003,middleschool,Associazione Pedagogica Rudolf Steiner,Via Conci 86 38123  Trento  TN
TNMM84401D,middleschool,Vallelaghi-Vezzano Bellesini,Via Roma 3 38096  Vallelaghi  TN
TNMM846015,middleschool,Villa Lagarina Anna Frank,Via Stockstadt Am Rhein 3 38060  Villa Lagarina  TN
TNMM82902C,middleschool,Ville d'Anuania - Tuenno,Via V. Maistrelli 11 38019  Ville d'Anaunia  TN
TNMM86001B,middleschool,Volano - Alta Vallagarina,Via Nicolo' Tommaseo 8 38060  Volano  TN
TNSD020011,highschool,Liceo Arti Vittoria Bonporti Depero,Via delle Fosse 9 38068  Rovereto  TN
TNSD010009,highschool,Giuseppe Soraperra,Strada Dolomites 6 38036  San Giovanni di Fassa  TN
TNSD02000X,highschool,Liceo Arti Vittoria Bonporti Depero,Via Zambra 3 38121  Trento  TN
TNPS00500B,highschool,Gardascuola,Via XXIV Maggio 1 38062  Arco  TN
TNPS002011,highschool,Alcide Degasperi,Via XXIV Maggio 6 38051  Borgo Valsugana  TN
TNPS001015,highschool,LA Rosa Bianca-Weisse Rose,Via Gandhi 1 38033  Cavalese  TN
TNPS006018,highschool,Bertrand Russell,Via IV Novembre 35 38023  Cles  TN
TNPS00301R,highschool,Martino Martini,Via Perlasca 4 38017  Mezzolombardo  TN
TNPS00401L,highschool,Marie Curie,Via San Pietro 4 38057  Pergine Valsugana  TN
TNPS100005,highschool,Fiera di Primiero,Via G.A. Scopoli 1 38054  Primiero San Martino di Castrozza  TN
TNPSID500S,highschool,Liceo Steam International,Via Fortunato Zeni 8 38068  Rovereto  TN
TNPS09000Q,highschool,Giuseppe Soraperra,Strada Dolomites 1 38036  San Giovanni di Fassa  TN
TNPS007014,highschool,Lorenzo Guetti,Via Durone 53 38079  Tione di Trento  TN
TNPS01000V,highschool,Galileo Galilei,Viale N.Bolognini 88 38122  Trento  TN
TNPS02000D,highschool,Leonardo da Vinci,Via Cristoforo Madruzzo 24 38122  Trento  TN
TNPS11000Q,highschool,Linguistico Sophie Magdalena Scholl Tn,Via Mattioli 8 38122  Trento  TN
TNPS015002,highschool,Collegio Arcivescovile Celestino Endrici,Via Celestino Endrici 23 38122  Trento  TN
TNPM006019,highschool,Degasperi,Via Trento 30 38023  Cles  TN
TNPM02000E,highschool,Fabio Filzi,Corso Antonio Rosmini 61 38068  Rovereto  TN
TNPM01000X,highschool,Antonio Rosmini,Via B.Malfatti 2 38122  Trento  TN
TNPM010509,highschool,Antonio Rosmini - Trento - Serale,Via B.Malfatti 2 38122  Trento  TN
TNPM015003,highschool,Istituto Sacro Cuore,Piazza Santa Teresa Verzeri 4 38122  Trento  TN
TNPC01000Q,highschool,Andrea Maffei,Viale F.A.Lutti 7 38066  Riva del Garda  TN
TNPC02000A,highschool,Antonio Rosmini,Corso A.Bettini 86 38068  Rovereto  TN
TNPC04000G,highschool,Giovanni Prati,Via Santissima Trinita' 38 38122  Trento  TN
TNPC01500V,highschool,Collegio Arcivescovile Celestino Endrici,Via Celestino Endrici 23 38122  Trento  TN
TNPL005006,highschool,Arcivescovile-Dame Inglesi,Corso Bettini 71 38068  Rovereto  TN
TNTL00101B,highschool,LA Rosa Bianca-Weisse Rose,Via Gandhi 1 38033  Cavalese  TN
TNTF008012,highschool,Giacomo Floriani,Via Sant'Alessandro 38066  Riva del Garda  TN
TNTF02000G,highschool,Guglielmo Marconi,Via Padre F.Monti 1 38068  Rovereto  TN
TNTF020501,highschool,Guglielmo Marconi Rovereto Serale,Via F. Monti 1 38068  Rovereto  TN
TNTA01500B,highschool,Istituto Provinciale Agrario,Via E.Mach 1 38098  San Michele all'Adige  TN
TNTF01301D,highschool,M. Buonarroti,Via Brigata Acqui 15 38122  Trento  TN
TNTF01351V,highschool,M. Buonarroti - Trento Serale,Via Brigata Acqui 15 38122  Trento  TN
TNTL01301N,highschool,M. Buonarroti,Via Brigata Acqui 15 38122  Trento  TN
TNTL013513,highschool,M. Buonarroti - Trento - Serale,Via Brigata Acqui 15 38122  Trento  TN
TNRC004015,highschool,Marie Curie,Viale Vittorio Emanuele 134 38056  Levico Terme  TN
TNRC003019,highschool,Martino Martini,Via Perlasca 4 38017  Mezzolombardo  TN
TNRC00350N,highschool,Martino Martini-Mezzolombardo - Serale,Via Perlasca 4 38017  Mezzolombardo  TN
TNRC009018,highschool,Don Lorenzo Milani,Via Balista 38068  Rovereto  TN
TNRC00951N,highschool,Don Lorenzo Milani - Rovereto-Serale,Via Balista 38068  Rovereto  TN
TNRI015007,highschool,Istituto Ivo De Carneri,Via Murialdo 30 38045  Civezzano  TN
1,university,Dipartimento di Biologia Cellulare; Computazionale e Integrata - CIBIO,Via Sommarive 9 Povo 38123 TN
2,university,Dipartimento di Economia e Management,Via Vigilio Inama 5 Trento 38122 TN
3,university,Dipartimento di Fisica,Via Sommarive 14 Povo 38123 TN
4,university,Dipartimento di Ingegneria Civile Ambientale e Meccanica,Via Mesiano 77 38123 Trento
5,university,Dipartimento di Ingegneria e Scienza dell'Informazione,Via Sommarive 9 Povo 38123 TN
6,university,Dipartimento di Ingegneria Industriale,Via Sommarive 9 Povo 38123 TN
7,university,Dipartimento di Lettere e Filosofia,Via Tommaso Gar 14 Trento 38122 TN
8,university,Dipartimento di Matematica,Via Sommarive 14 38123 Povo TN
9,university,Dipartimento di Psicologia e Scienze Cognitive,Corso Bettini 84 Rovereto 38068 TN
10,university,Dipartimento di Sociologia e Ricerca Sociale,Via Giuseppe Verdi 26 38122 Trento
11,university,Facoltà di Giurisprudenza,Via Giuseppe Verdi 53 38122 Trento
12,university,Centro Agricoltura; Alimenti; Ambiente - C3A,Via Edmund Mach 1 38010 San Michele All'adige TN
13,university,Centro Interdipartimentale di Scienze Mediche - CISMED,via S. Maria Maddalena 1 38122 Trento
14,university,Centro Interdipartimentale Mente/Cervello - CIMEC,Corso Bettini 31 Rovereto 38068 TN
15,university,Scuola di Studi Internazionali,Via Tommaso Gar 14 Trento 38122 TN
